Hinglish,English
film ka kya naam hai,What's the name of the movie
"namaste, sada hua tomatoes score mahaan hai, lekin meta critic score is gunavatta kee philm se thoda kam lagata hai.","Hi, the rotten tomatoes score is great but the meta critic score seems a little low a movie of this quality. "
kya aapako lagata hai ki aapako film pasand aaegee,Do you think you will like the movie
yah kis tarah kee philm hai,What kind of movie is it
film  kab banee thee?,when was the movie made?
"aashchary hai ki mahila, mujhe lagata hai ki mujhe is film mein bahut maja aaega","Wonder woman, I think i would enjoy this movie very much"
film ka kya naam hai,Whats the name of the movie
yah deesee komik duniya mein sthaapit ek ekshan philm hai,It is a action movie set in the DC comic world
: film mein kaun sitaare hain,Who stars in the movie
Movie 2015 mein banee thee,the movie was made in 2015
kya isane theaters mein achchha pradarshan kiya?,did it do well in theaters?
Kya mujhe ise paane kelie any movie dekhanee hongee?,did I have to see other movies to get it?
"Main character Gal gadot hai, lekin Chris pine, Robin wright aur Danny huston bhi hain","The main character is Gal Gadot, but also stars  Chris Pine, Robin Wright and Danny Huston"
Movie ke baare mein kya hai?,what is the movie about?
"Nahin, mujhe lagata hai ki yah movie ek stand alone piece hai jise samajhane ke lie aapako movies  ke knowledge kee aavashyakata nahin hogee",No i think this movie is a stand alone piece that you wont need knoledge of other movies to understand it
Yah ek war moovie ekshan movie hai,It is a war movie action movie
Kya aapako lagata hai ki yah bachchon kelie ek paarivaarik movie hai,Do you think this is a family movie for the kids
Kya aap movie ke kisee bhee kalaakaar se parichit hain?,Are you familiar with any of the actors in the movie?
Thoda malum,some of them
muje lgta hai ki ek faimly mai bacho ke saath dekh sakte hai,I think its acceptable for a family to watch with children
ho skta hai wo war ke bare mai,even though its about war
konse color ki pallet use hui hai,"what kind of color pallet 
 does it tend to use"
ha vo film ke war ke bare me jada nhi dikhate ha bas war he dikhate hai,Yes they don't depict much of the war in the movie its more of theme then actually seeing the war
to wo dark or cold or bright action hai,so is it dark and cold or bright and action
movies mai war rokne ke bare mai,The movie tries to stop the war not be in it
kaise ek admi war rok skta hai,how can one person stop a war
muje lgta hai yeh movie dono bright scene or dark scene par based hai,I believe the movie is a little bit of both. Bright for some scenes but dark for when things get gritty
wo ek wonderwoman hai uske pass super powers hai,Well shes wonderwoman she has super powers
to wo marvle movie hai,so is it like a marvle movie
haa marvle ke alava dc univerce hai,Yes except its in The DC universe instead of Marvle 
ye abhi tak cinemaghar se bahar hai?,is it still out in theaters?
Mei ye nahi socha par mejhe vishvash hai ki ye blu ray mei bahar aayegi,I dont think so im pretty sure its out on Blu ray now
MOVIE KE BAARE MEIN BATAIE,Tell me about the movie
MAINNE YAH MOVIE KABHEE NAHIN DEKHEE.,I have never seen this movie.
KYA AAP JAANATE HAIN KI YAH KIS BAARE MEIN HAI?,Do you know what it is about?
NAHIN MAIN NAHIN. MUJHE PATA HAI KI ISAMEN KUCHH BEHATAREEN KALAAKAAR HAIN JAISE TOM HAINKS AUR MERIL STREEP.,"No, I do not. I knwo it has some great actors in it like Tom Hanks and Meryl Streep. "
MERE PASANDEEDA KE DO,two of my favorites
MERA BHI. KYA AAPANE PAHALE YAH MOVIE DEKHEE HAI?,Mine too. Have you seen this movie before?
NAHIN ABHEE TAK NAHIN।,"No, not yet."
KYA AAP ISE DEKHANA CHAAHATE HAIN?,Do you want to see it?
MUJHE LAGATA HAI KI YAH MOVIE KO GOOGLAI KE LIE EK BURA VICHAAR NAHIN HOGA AUR DEKHEN KI YAH KIS BAARE MEIN HAI. EK BAAR ISAMEN TOM HAINKS KO DEKHAKAR MUJHE BURA NAHIN LAGEGA.,I guess it woudnt be a bad idea to Google the movie and see what it is about. I wouldn't mind seeing it sonce it has Tom Hanks in it.
VAH MAJAAKIYA HAI,He's funny
GOOGLE EK ACHHA VICHAR HAIN,Google is a good idea. do you have a favorite movie site to shcek?
YEAH VH HAI.MAIN USKE BAHUT SARE MOVIES PASAND KARTHA HOON,Yeah he is. I love a lot of his movies.
IMDB KE ALAVA.NAHI,"Other than IMDB, no"
MAIN BHI,mine too
HUMKO CHECK KARNA CHAHIYE,We should check it out then.
AAP EK SAAL MEIN KITNE MOVIE DEKHTHE HAIN,Yes. How many movies do you watch per year?
ACHHI SAWAL.BAHUT SARE,Good question. A lot
AAP KA PASANDEEDA SHAILEE KYA HAIN?,what is your favorite genre?
MUJHE ROMANCHAKARI . mujhe Fatal Atrraction pasand hain,Mine is thriller. I live Fatal Attraction
MUJHE VAISI THRAH  DOOSARI MOVIES BHI PASAND HAIN,I love other movies like that too'
basic Instinct meri pasandida  moive hai,Basic Instinct is my mom's fav
kya tum bahut jayada movie dekhate ho?,Do you watch a lot of movies?
"haa, week mei do baar",Yes. About 2 a week
purani bahut payari hoti hai,Love the old ones best
Especially 80's films,Especially 80's movies
"mere pasandida genres horror,romantic or comedy hai","My favorite genres are horror,  romantic comedy"
kya tum ko jim carey comedy mei pasand hai?,do you like jim carey in comedy?
mujhe jim carey pasand hai!,I love jim carey!
funny guy. Liar liar mei elevator ke scene ko yaad karo?,Funny guy. Remember the elevator scene in Liar Liar? 
LOL,"
LOL"
Lol! Haan!,Lol! Yeah!
kid movie ke bare mein kya kahoge?mujhe abhi bhi Shrek achi lagti hai,What about kid's movies? I still like Shrek
Shrek funny hai! mujhe laghbhag sari kid movies pasand hain,Shrek is funny! I love pretty much all kid movies.
