,premise,hypothesis,labels,hindi_premise,hindi_hypothesis,english_premise,english_hypothesis
817,saxena main warden se baat karoonga shahid thank you sir koi scholarship mil sakti hai war koi problem hai shahid ghar waalon se nahin maang sakta war main tumhari fees doonga shahid is puzzled war par omar aftab se milna band karoge shahid main aur kisi ko nahin jaanta yahaan war humein jaante ho shahid looks down war thik hai sunday ko tum uske saath chess khel sakte ho par marks kam aaye to sab band thik hai,war wants shahid to get good marks,0,"सक्सेना  मैं वार्डन से बात करूंगा ...   शाहिद  ​​धन्यवाद, सर ... कोई छात्रवृत्ति मिल सकती है ....   युद्ध  कोई समस्या है ...   शाहिद  ​​घर वालों से नहीं मांग सकता है   युद्ध  मैं तुम्हारी फीस दूंगा। शाहिद हैरान हैं...   युद्ध  पर उमर, आफताब से मिलना बंद करोगे?   शाहिद   मैं और किसी को नहीं जनता यहां।   युद्ध  हमें जाने हो ... शाहिद नीचे दिखता है ..   युद्ध  ठीक है, रविवार को तुम्हारे साथ शतरंज खेल सकते हैं। पर मार्क्स कम आए तो सब बैंड ... ठीक है ..  ",war चाहता है कि shahid को अच्छे अंक मिले।,saxena i will talk to the warden shahid thanks sir can get some scholarship war there is a problem shahid to the housemates can t ask for war i ll pay your fees shahid is shocked war but umar will you stop meeting aftab shahid i do not know anyone else here war we have to know shahid looks down war okay let s play chess with you on sunday but if the marks come less then all the bands ok,war wants shahid to get good marks
1280,govind chavai gyo boss tu toh ek minute ke liye mujhe laga ki gayi deal paani mein woh mrs srivastava ka mooh dekha ishaan yaar ek minute ke liye soch agar hum yeh sports package ahmedabad ke chhote bade sab schoolon mein offer karein to ishaan in fact ahmedabad chhor surat baroda rajkot dekhte dekhte poore desh mein ahmedabad sports club ka thappa laga sakte hain ishaan aur phir itne schools itne bachhe soch kitna talent niklega ishaan kone kone se dhoond nikalenge saalon ko phir tera dhanda dekh kahan se kahan pahuch jayega govind sab hoga shreemaan sab hoga main dhirubhai ban jaoonga aur omi ko chief minister bana denge par abhi rickshaw dhoonein,ishaan keh raha hai ki govind ka dhanda bahut tarakki kar jayega,0,"गोविंद   चवई ग्यो बॉस तू तो! एक मिनट के लिए मुझे लगा की गई डील पानी में.. वो मिसेज। श्रीवास्तव का मुह देखा   ईशान  यार, एक मिनट के लिए सोच .. अगर हम ये स्पोर्ट्स पैकेज अहमदाबाद के छोटे .. बड़े .. सब स्कूल में में ऑफर करें?   ईशान  वास्तव में अहमदाबाद छोर, सूरत, बड़ौदा, राजकोट .. देखते देखते गरीब देश में अहमदाबाद स्पोर्ट्स क्लब का थाप्पा लगा सकते हैं   ईशान  ..और फिर इतने स्कूल .. इतने बच्चे .. सोच कितना प्रतिभा निकलेगा? ?   ईशान   कोन कोन से निकलेंगे सैलून को .. फिर तेरा धंदा देख कहां से कहां पाहुच जाएगा..!!   गोविंद   सब होगा श्रीमान .. सब होगा .. मैं धीरूभाई बन जाऊंगा और ओमी को मुख्यमंत्री बना दूंगा .. पर अभी रिक्शा डूबूंगा  ",ईशान कह रहा है की गोविंद का धंदा बहुत तारकी कर जाएगा।,govind chavai gyo boss tu toh for a minute i thought the deal was in the water that mrs srivastava s face saw ishaan man think for a minute if we offer this sports package in small big sub school in ahmedabad ishaan actually ahmedabad end surat baroda rajkot looking at poor country can tamp ahmedabad sports club ishaan and then so many schools so many kids thinking how much talent will come out ishaan who will come out of the cone to the salon then where will you reach after seeing your business govind sab hoga sir all will happen i will become dhirubhai and make omi the chief minister but now i will drown the rickshaw,ishaan is saying that govind s business will be very successful
1246,debdas tum vivaah kar rahe ho pakhi se varun sagaai debdas kya baat hai varun kya chhupa rahe ho varun kuch nahin debdas kuch to hai jo tum nahin kah rahe ho debdas bajpai ji ko kya bataaoge varun pata nahin debdas to phir sagaai kyon kar rahe ho usse poora hi khatam karke jaane ka iraada hai debdas sagaai kahaan hai varun mandir mein debdas kab varun kal,debdas kuchh chhupa raha hai,1,"देबदास   तुम विवाह कर रहे हो, पाखी से...   वरुण  सगाई।   देबदास   क्या बात है वरुण ? क्या छुपा रहे हो?   वरुण   कुछ नहीं ...   देबदास   कुछ तो है जो तुम नहीं कह रहे हो ...   देबदास   बाजपेयी जी को क्या बताओगे ?   वरुण   पता नहीं।   देबदास   तो फिर सगाई क्यों कर रहे हैं? उसे पूरा ही खतम करके जाने का इरादा है ?   देबदास   सगाई कहां है?   वरुण   मंदिर में।   देबदास   कब ?   वरुण   कल...  ",देबदास कुछ छुपा रहा है,debdas you are getting married with pakhi varun engaged debdas what s the matter varun what do you have under the hat varun nothing debdas there is something you are not saying debdas what will you tell bajpayee ji varun don t know debdas then why are you getting engaged do you intend to finish it completely debdas where is the engagement varun in the temple debdas when varun tomorrow,debdas is hiding something
1635,meera tumne kisi ko dekha yehaan chhotey gaadi teri hai kiski hai meera lamba sa blue shirt chhotey gaadi chalaaun meera pehle bataa blue shirt waala kahaan hai meera kis taraf gaya wo meera kis taraf chhotey kutti,meera ne blue shirt wale ko dekha,0,मीरा   तुम्हारे किसी को देखा यहाँ ?   छोटे   गाड़ी। तेरी है? किसकी है?   मीरा   लांबा सा. नीली कमीज ।   छोटे   गाड़ी चलाऊं ?   मीरा  पहले बताता नीली शर्ट वाला कहां है।   मीरा   किस तरह गया वो ?   मीरा   किस तरह ?   छोटे   कुट्टी .  ,मीरा ने नीली शर्ट वाले को देखा,meera did you see anyone here small car is yours whose is it meera lamba sa blue shirt younger should i drive meera first tell where is the blue shirt meera how did he go meera how small kutty,meera sees the one with the blue shirt
923,ammaji phone kyun na laag rya tha thaara satbir wo paani ma bheej gya ammaji aur jey yaa nikal jaati tey ke karta satbir sab control ma sa amma ammaji gaye cheh paachhe aaye chaar yo control sa thaara ammaji rrr chup karaao isne koi,satbir ka phone paani mein bheeng gaya tha,0,अम्माजी   फोन क्यों ना लाग रिया था थारा ?   सतबीर   वो... पानी मा भीज गया।   अम्माजी   और जे या निकल जाती ते के कर्ता ?   सतबीर   सब कंट्रोल मां सा अम्मा।   अम्माजी   गए चे। पाछे आए चार। यो कंट्रोल सा थारा?   अम्माजी   आरआर चुप कराओ इसने कोई।  ,सतबीर का फोन पानी में भीग गया था।,ammaji why didn t the phone lag riya tha thara satbir that water got wet ammaji and je or nikal jaati te ke doer satbir all control mother sa amma ammaji gone che four came after yo control sa thara ammaji rr shut up this one,satbir s phone was soaked in water
287,goldman arre nahi bol sakta kahan jaa raha hoon kaan nahi hai tera phone hai baithke tape kar rahein hongey goldman poori agency laga di hai peeche masjid kya giri mere peeche pad gaye yahan se nahi gaya toh jail mein sadaenge arre kyon gussa ho rahi ho miltey rahenge tu kaunsa saalbhar shooting karti hai har do mahine baad aa jaana haan haan pehle jaane toh do poori baat nahi sunti ashwini that s it ashwini pata kaise chala use extradition ke bare mein is room ke alava yeh information kisi ke paas nahi thi phir kaise pata chala senior officer ashwini agli baar pakad lenge ashwini i hope so sir i hope so,goldman poori baat nahi sunta,0,गोल्डमैन  अरे नहीं बोल सकता है जा रहा हूं ... कान नहीं है तेरा ... फोन है ... बैठे टेप कर रहे हैं ...   गोल्डमैन  पूरी एजेंसी लगा दी है पीछे ... मस्जिद क्या गिरी मेरे पीचे पैड गए ... यहां से नहीं गया तो जेल में सदांगे ... अरे क्यों गुस्सा हो रही हो? मिलेंगे... तू कौनसा सालभर की शूटिंग करता है... हर दो महान बाद जाना... हां हां... पहले जाने तो दो... पूरी बात नहीं सुनती...   अश्विनी   बस इतना ही.. .?   अश्विनी   पता कैसे चला उपयोग प्रत्यर्पण के नंगे में?   वरिष्ठ अधिकारी   अश्विनी ... अगली बार पका लेंगे ...   अश्विनी   मुझे उम्मीद है सर ... मुझे उम्मीद है ...  ,गोल्डमैन पूरी बात नहीं सुनता,goldman oh nahi bol hai jaa raha hoon kan nahi hai tera phone hai sitting taping hai goldman the whole agency has laged behind masjid kya giri mere peeche pad gaya if you don t go from here then you will go to jail hey why are you getting angry milenge which one do you shoot for a year go after every two greats yes yes first let s go don t listen to the whole thing ashwini that s all ashwini how did you know the use of extradition barefoot senior officer ashwini will cook next time ashwini i hope sir i hope,goldman doesn t listen to the whole thing
641,sikandar bata na kaise phansti hai ye angrejan sab vikram kaa be bhaujaai de nahin rahi kaa aajkal sikandar jitna poochh rahe hain wo bataao na thoda bahut angreji bol lete hain vikram angreji se nahin hota attract hona chaahiye kundan yaad hai vikram wo jo peepa pul mein naav ghusaaya tha chootiya abhi sweden ki switzerland kaun jaane ghoom ke aaya apni memsab ke saath vikram arre kanjoos saala naav bechne waapas aaya hai phir jaayega vikram sab bhainchod langot pakad lo humaara hum ud ke jaa rahe hain turantey patta phenko,vikram ne kaha ki angrejan sab ko phansane ke liye attract hona chaahiye,0,सिकंदर   बता ना... कैसे फँसती है ये अंगरेजन सब ?   विक्रम  का हो... भाऊजाई दे नहीं रही का आजकल?   सिकंदर   जीता पूछ रहे हैं वो बताओ ना? थोड़ा बहुत अंग्रेजी बोल लेते हैं...   विक्रम  अंग्रेजी से नहीं होता। 'आकर्षित' होना चाहिए। कुंदन याद है?   विक्रम  वो जो पीपा-पुल में नाव घुसाया था चूटिया .. अभी स्वीडन ... की स्विट्जरलैंड ... कौन जाने ... घूम के आया अपनी यादें के साथ।   विक्रम   अरे कंजूस साला नाव बेचेने आया है। फिर जाएगा।   विक्रम   सब भाईछोड़ लंगोट पकाड़ लो हमारा... हम उड़ के जा रहे हैं तूरंते! पट्टा फेन्को!  ,विक्रम ने कहा की अंग्रेजी सब को फंसाने के लिए 'आकर्षित' होना चाहिए।,sikandar tell me how do all these englishmen get trapped vikram why are you sikandar jeeta is asking tell me isn t he speak a little bit of english vikram english doesn t happen must be attracted remember kundan vikram the one who had put the boat in the cask bridge chutiya just now in sweden of switzerland who knows went around and came with his memories vikram oh miserly brother in law has come to sell the boat will go again vikram all brothers and sisters take our nappies we are going to fly away immediately throw the strap,vikram said that the english should be attracted to trap everyone
475,dhaniram sorry sir dhaniram sir doosre kamre mein ek chhota sa glass phoota aur aap din bhar ke thake haare gehri neend se jaag pade dhadsina dhaniram wahan doosre kamre mein do do qatl ho gaye aur maa baap ghode bech kar sote rahe zara sochiye sir dhaniram sir ye mail dekhiye ismein ladki maafi maang rahee ki papa phir aisi galti kabhee nahi karoongi kya thee wo galti,mail mein papa ne ladki se maafi maangi thi,1,धनिराम   सॉरी सर ..   धनिराम   सर दूसरे कामरे में एक छोटा सा ग्लास फूटा .. और आप दिन भर के थे हरे .. गेहरी नींद से जग पाए। धडसीना ..   धनिराम  वहन दूसरे कामरे में दो कटल हो गए और मां बाप घोड़े बीच कर सोटे रहे? जरा सोचिए सर..   धनिराम   सर ये मेल देखिये. इस्मीन लड़की माफ़ी माँग रही की पापा फिर ऐसी गलतियाँ कभी नहीं करूँगी। क्या तुम वो गल्ती?  ,मेल में पापा ने लड़की से माफ़ी मांगी थी,dhaniram sorry sir dhaniram sir a small glass broke in the other room and you were all day green woke up from deep sleep dhadsina dhaniram there were two cuttles in the second room and the parents kept sleeping with the horses in between just think sir dhaniram sir see this mail ismeen girl apologizing that papa will never make such mistakes again are you making that mistake,papa had apologized to the girl in the mail
1639,prem tumhari list hai gaanon ki sandhya thank you prem nateeja hua tumhare interview ka sandhya nahin prem tumhein mil jaayegi naukri dekh lena sandhya tumhein kaise pata prem bas pata hai prem aur ek baat kahoon tum jab jaana chaho chali jaana koi naa rokega tumhein is ghar mein manhoosiyat ke alaawa kuch naa hai hamara raahu apne sar marrne ki jaroorat naa hai tumko tum bas apna bhavishya socho sandhya mujhe naukri mil gayi hai merrut mein,sandhya ke songs ki list hai,0,"प्रेम  तुम्हारी लिस्ट है-गांवों की।   संध्या   धन्यवाद।   प्रेम   नतीजा हुआ तुम्हारे इंटरव्यू का ?   संध्या   नहीं।   प्रेम  तुम्हें मिल जाएगी नौकरी, देख लेना।   संध्या   तुम कैसे पता ?   प्रेम   बस पता है।   प्रेम   और एक बात कहूं। तुम जब जाना चाहो, चली जाना। कोई ना रोकेगा तुम्हें। इस घर में मनहूसियत के कुछ कुछ ना है। हमारा राहु अपने सर मरने की जरूरत न है तुमको। तुम बस अपना भविष्य सोचो।   संध्या  मुझे नौकरी मिल गई है, मेरठ में।  ",संध्या के गाने की लिस्ट है,prem your list is of villages sandhya thank you prem what was the result of your interview sandhya no prem you will get the job take a look sandhya how do you know love just know prem let me say one more thing when you want to go go away no one will stop you there is nothing of wretchedness in this house you don t need our rahu to die on your head you just think about your future sandhya i have got a job in meerut,sandhya songs list
438,misra good afternoon vicky thakur murder mein mere paas ek ajeeb tip aayi misra vicky ka killer kisi official vehicle mein bhaaga tha aajkal pakisatn mein hai kahin aapke dream project ka hissa toh nahi hai ashwini kaunsa dream project jo tumney bandh karva diya misra aapne bandh kahan kiya hoga thoda toh main bhi jaanta hoon aapko ashwini thoda jaantey ho poora nahi,ashwini ne apna dream project bandh karwa diya,0,मिश्रा  शुभ दोपहर ... विक्की ठाकुर मर्डर में मेरे पास एक अजीब टिप आई ...   मिश्रा  विक्की का किलर किसी आधिकारिक वाहन में भाग था ... आजकल पाकिस्तान में है ... कहीं आपके ड्रीम प्रोजेक्ट का हिसा तोह नहीं है?   अश्विनी  कौनसा ड्रीम प्रोजेक्ट ... जो तुमने बंद करवा दिया ...   मिश्रा  आपने बंद कहां किया होगा ... थोड़ा तो मैं भी जनता हूं आपको ... पूरा नहीं ...  ,अश्विनी ने अपना ड्रीम प्रोजेक्ट बंद करवा दिया,mishra good afternoon i got a strange tip in vicky thakur murder mishra vicky s killer ran away in some official vehicle aaj ki pakistani hai kahin aapko aapse dream project ka hisa toh not there ashwini which dream project which you got closed mishra where would you have stopped a little i know you too not complete,ashwini closed her dream project
