,premise,hypothesis,labels,translated_premise,translated_hypothesis
0,"BANK MANAGER : FD tudwa rahe aap ? Time se pehle ? ## TITLI : Woji chot lag gayi inko . Paise short horahe hain . ## BANK MANAGER : Interest kat jayega aapka . ## TITLI : Interest se pehle health hai . ## BANK MANAGER : Life Insurance hai , aap dono ki ? ## TITLI : H u m k o n a h i karani j i . A a p bas cash dila do jaldi . ## ",TITLI ka koi interest nahi katega,contradictory,"बैंक मैनेजर : FD टूटवा रहे आप ? समय से पहले? ## तितली : वोजी छोटे लग गई इनको। पैसे छोटे होरे हैं। ## बैंक मैनेजर : इंटरेस्ट कट जाएगा आपका। ## तितली : रुचि से पहले स्वास्थ्य है। ## बैंक मैनेजर : जीवन बीमा है, आप दोनो की? ## तितली : ह u m k o n a h i karani j i . ए पी बस कैश दिला दो जल्दी। ##",तितली का कोई इंटरेस्ट नहीं कटेगा
1,ROHAN : Tumhaare liye ... ## ROHAN : Ye bhi ... agar padhne ka mann kare to ... ## ARJUN : Hum sab teen teen baar padh liye hain ... ## ROHAN : Apni poems bhi leke aaye hain . Aur kahaniyan . Ye tum kabhi nahin padhe ho ... ## ROHAN : Tumko chahiye to tumhaare school ke doston ko bula laayen ? ## ROHAN : Vah ladki jisko tum kiss kiye the ? ## ARJUN : Vah humse baat nahin karti . ## ROHAN : Koi baat hai Arjun jo tum kahna chahte ho ? ## NURSE : Hello Arjun ... ## NURSE : Aap iska kapda badal lenge ? ## ROHAN : Kya hua ? ## , '',entailment,रोहन : तुम्हारे लिए ... ## रोहन : ये भी ... अगर पढ़ने का मन करे तो ... ## अर्जुन : हम सब तीन तीन बार पढ़ लिए हैं ... ## रोहन : अपनी कविताएं भी लेके आए हैं . और कहानियां। ये तुम कभी नहीं पढ़े हो... ## रोहन : तुमको चाहिए तो तुम्हारे स्कूल के दोस्तों को बुला लाए? ## रोहन : वाह लड़की जिसे तुम किस किया? ## अर्जुन : वाह हमसे बात नहीं करती। ## रोहन: कोई बात है अर्जुन जो तुम कहना चाहते हो? ## नर्स : हेलो अर्जुन... ## नर्स : आप इसका कपड़ा बदल लेंगे ? ## रोहन : क्या हुआ ? ##,''
2,BHAIRAV : Paanch minute late ... ## ROHAN : Baal bana raha tha . ## BHAIRAV : T-shirt pe kya hai ? ## ROHAN : Who gives a hash at the rate of dollar per se ... ## BHAIRAV : Factory mein yah sab leechad kapda pahan kar nahin jaa sakte ... ## ROHAN : Mere paas sab yahi hai . ## BHAIRAV : Jaake meri almaari mein se kameez le lo . ## BHAIRAV : Aur baal banaane mat lag jaana nahin to ghar ke saare sheeshe tod doonga tumhaare sarr pe ... now run ! ## ,BHAIRAV ne ROHAN ke dress ko leechad kapda kaha. ,entailment,भैरव : पांच मिनट लेट... ## रोहन : बाल बना रहा था। ## भैरव : टी-शर्ट पर क्या है? ## रोहन : डॉलर प्रति सेक के हिसाब से हैश कौन देता है... ## भैरव : फैक्ट्री में यह सब लीछड़ कपडा पहन कर नहीं जा सकता... ## रोहन : मेरे पास सब यही है। ## भैरव : जाके मेरी अलमारी में से कमीज ले लो। ## भैरव : और बाल बनाने मत लग जाना नहीं तो घर के सारे शीशे तोड़ दूंगा तुम्हारे सर पे... अब दौड़ो! ##,भैरव ने रोहन के ड्रेस में जोंकड़ कपड़ा कहा।
3,ASLAM : Paanch minute ... ## ASLAM : Pack ... Main zara halka hokey aata hoon ... ## ASLAM : Ghanta ... Chota Aslam kaagzi ghulab nahi soonghta ... Usko live ki aadat hai ... ## ASLAM : Parcel aa raha hai ... ## ,ASLAM wanted to go to toilet. ,entailment,असलम : पांच मिनट ... ## असलम : पैक ... मैं जरा हलका होके आता हूं ... ## असलम : घंटा ... छोटा असलम कागजी गुलाम नहीं जल्द ही ... उसे लाइव की आदत है ... # # असलम : पार्सल आ रहा है... ##,असलम शौचालय जाना चाहता था।
4,APU : Kaun se school mein tha ? ## ROHAN : Bishop Cotton . ## APU : Kahan hai ? ## ROHAN : Shimla . ## APU : Tabhi tu pahadi jaisa dikhta hai ... ## AMBER : Rahne vaala to Jamshedpur ka hai na be ... ## APU : Thanda bahut lagta hogi tumko ? ## ROHAN : Yahaan ? ## APU : Hahn ... ## ROHAN : Kyon ? ## APU : Kyonki tu Shimla se hai ... ## AMBER : Ye Jamshedpur ka hai na be ... ## APU : Pata hai ... mazaak karrra Motu ... joke ... situp ... ## SHIV : Bolo motu ko joke nahin samjha ki ... ## ,ROHAN  Shimla se hai. ,contradictory,एपीयू : कौन से स्कूल में था? ## रोहन : बिशप कॉटन। ## एपीयू : कहां है? ## रोहन : शिमला । ## एपीयू: तबी तू पहाड़ी जैसा दिखता है... ## एम्बर: रहने वाला से जमशेदपुर का है ना हो... ## एपीयू: ठंडा बहुत लगता है तुमको? ## रोहन : यहाँ ? ## अपू : हैन... ## रोहन : क्योन ? ## एपीयू : क्यों तू शिमला से है... ## अंबर : ये जमशेदपुर का है ना हो... ## एपीयू: पता है... मज़ाक कर्रा मोटू ... मजाक ... बैठो ... ## शिव : बोलो मोटू को जोक नहीं समझ की... ##,रोहन शिमला से है।
5,"DEBDAS : Tum vivaah kar rahe ho , Pakhi se ... ## VARUN : Sagaai . ## DEBDAS : Kya baat hai Varun ? Kya chhupa rahe ho ? ## VARUN : Kuch nahin ... ## DEBDAS : Kuch to hai jo tum nahin kah rahe ho ... ## DEBDAS : Bajpai ji ko kya bataaoge ? ## VARUN : Pata nahin . ## DEBDAS : To phir sagaai kyon kar rahe ho ? Usse poora hi khatam karke jaane ka iraada hai ? ## DEBDAS : Sagaai kahaan hai ? ## VARUN : Mandir mein . ## DEBDAS : Kab ? ## VARUN : Kal ... ## ",Sagaai Kal hai. ,entailment,"देबदास : तुम विवाह कर रहे हो, पाखी से... ## वरुण: सगाई। ## देबदास : क्या बात है वरुण ? क्या छुपा रहे हो? ## वरुण : कुछ नहीं ... ## देबदास : कुछ तो है जो तुम नहीं कह रहे हो ... ## देबदास : बाजपेयी जी को क्या बताओगे ? ## वरुण : पता नहीं। ## देबदास : तो फिर सगाई क्यों कर रहे हैं? उसे पूरा ही खतम करके जाने का इरादा है ? ## देबदास : सगाई कहां है? ## वरुण : मंदिर में। ## देबदास : कब ? ## वरुण : कल... ##",सगाई कल है।
6,"I.G. : Like father like daughter .. Chhee chhee chhee !! ## I.G. : Sir ... we're from the anti corruption bureau ..! ## JK : Arre ... Guru .. ## I.G. : JK . Tu kya kar raha hai yahan ? ## JK : Arre yaar saala deputation aa raha hai na next year .. ## I.G. : Kahan ja rahe ho ? ## JK : Kya pata yaar .. May be CDI .. Tu kaise yahan ? ## I.G. : The Noida double murder case .. you know , the young girl and the servant .. (gestures towards CM's cabin) Reporting to 'high-command' ! ## JK : Any leads ? ## I.G. : Working on it .. ## I.G. : Bahut achhi Malt bacha rakkhi hai tere liye .. Kab aa raha hai ? ## JK : Jab bhi yaar .. it takes just an hour from Gurgaon to Noida .. ## I.G. : Theek hai next week . ## ",I.G. is from anti corruption bureau,entailment,"आई.जी. : जैसे बाप जैसी बेटी.. छी छी छी !! ## आईजी : सर... हम भ्रष्टाचार निरोधक ब्यूरो से हैं..! ## जेके : अरे ... गुरु .. ## आई.जी. : जेके. तू क्या कर रहा है यहाँ? ## जेके : अरे यार साला प्रतिनियुक्ति आ रहा है ना अगले साल.. ## आई.जी. : कहां जा रहे हो ? ## जेके: क्या पता यार .. सीडीआई हो सकता है .. तू कैसा यहां? ## आईजी : नोएडा डबल मर्डर केस.. आप जानते हैं, युवती और नौकर.. (सीएम के केबिन की ओर इशारा करते हुए) 'हाईकमान' को रिपोर्ट! ## जेके : कोई लीड ? ## आईजी : इस पर काम कर रहे हैं.. ## I.G. : बहुत अच्छी माल्ट बची राखी है तेरे लिए .. कब आ रहा है? ## जेके : जब भी यार.. गुड़गांव से नोएडा जाने में बस एक घंटा लगता है.. ## आई.जी. ठीक है अगले हफ्ते। ##",आई.जी. भ्रष्टाचार निरोधक ब्यूरो से है
7,KASTURI : Na h i s a m a j h m e in a a r a h a h a i puttar . ## SANJEEV : Kya baat hai Andrea ? ## ANDREA : Nothing Sir voh ... ## SANJEEV : Arrey ... have ... chill yaar .. kaam kiya hai itna ... le na abhi ! ## SANJEEV : Kya hai ... hua kya hai ... life mein sab hota hai yaar ... chal na beer pi ! ## SANJEEV : Arrey your beer ... leke ja naa tu ! ## ,KASTURI ko samajh mein nahi aa raha,entailment,कस्तूरी : ना ह आई एस ए एम ए जे एच एम ई इन ए ए आर ए एच ए एच ए आई पुत्तर . ## संजीव : क्या बात है एंड्रिया? ## एंड्रिया: कुछ नहीं सर वो ... ## संजीव: अरे ... है ... चिल यार .. काम किया है इतना ... ले ना अभी! ## संजीव: क्या है ... हुआ क्या है ... जिंदगी में सब होता है यार ... चल ना बीयर पी ! ## संजीव : अरे अपनी बीयर... लेके जा ना तू! ##,कस्तूरी को समझ में नहीं आ रहा:
8,NUTAN : Haan .. ## DR. SWAMY : Aap peshe se Doctor hain ? ## NUTAN : Haan .. ## DR. SWAMY : Aapko yaqeen hai ki aapke pati ne Shruti ka qatl nahin kiya hai ? ## NUTAN : Haan . ## ,NUTAN ek doctor hai,entailment,नूतन : हां.. ## डॉ. स्वामी : आप पेश से डॉक्टर हैं ? ## नूतन : हां.. ## डॉ. स्वामी : आपको याक़िन है की आपके पति ने श्रुति का क़त्ल नहीं किया है? ## नूतन : हां । ##,नूतन एक डॉक्टर है
9,"ARJUN : Kyun , kya hua ? ## RAHUL : Papa called , Dadu got a heart attack . ## ARJUN : Shit ! Is he okay ? ## RAHUL : Ab stable hain , magar ICU main hain .. ## ARJUN : Unhone mujhe phone kyun nahi kiya ? ## RAHUL : Arjun , in baaton ke liye time nahin hai ... Maine saare flights check kiye hain , sirf Air India ki direct flight hai . Waheen lekar parsoe chaar baje pahunch raha hoon . Tum agar kal New Jersey se 7 : 40 ki flight lelo , toh hum dono airport se saath nikal sakte hain . ## ARJUN : Gimme a sec . ## RAHUL : Tumhare liye ticket khareed loon ? ## ARJUN : Koi zarurat nahin . Main manage kar lunga . ## ",Dabu is okay. ,contradictory,"अर्जुन : क्यूं , क्या हुआ ? ## राहुल : पापा ने फोन किया, दादू को दिल का दौरा पड़ा। ## अर्जुन : अरे! क्या वह ठीक हैं ? ## राहुल: अब स्थिर हैं, मगर आईसीयू मैं हैं.. ## अर्जुन: मुझे फोन क्यों नहीं किया? ## राहुल: अर्जुन, इन बातों के लिए समय नहीं है ... मैंने सारे फ्लाइट चेक किए हैं, सिर्फ एयर इंडिया की सीधी उड़ान है। वही लेकर परसो चार बजे पांच रहा हूं। तुम अगर कल न्यू जर्सी से 7: 40 की फ्लाइट लेलो, तो हम दोनो एयरपोर्ट से साथ निकल सकते हैं। ## अर्जुन : मुझे एक सेकंड दें। ## राहुल : तुम्हारे लिए टिकट खारीद लूं? ## अर्जुन : कोई जरूरी नहीं। मेन मैनेज कर लुंगा। ##",डब्बू ठीक है।
