,premise,hypothesis,labels,english_premise,english_hypothesis
0,"BANK MANAGER : FD tudwa rahe aap ? Time se pehle ? ## TITLI : Woji chot lag gayi inko . Paise short horahe hain . ## BANK MANAGER : Interest kat jayega aapka . ## TITLI : Interest se pehle health hai . ## BANK MANAGER : Life Insurance hai , aap dono ki ? ## TITLI : H u m k o n a h i karani j i . A a p bas cash dila do jaldi . ## ",TITLI ka koi interest nahi katega,contradictory,"Bank Manager: Are you getting FD broken? before time? ## Butterfly : Voji looks small to him. Money is small. ## Bank Manager: Your interest will be deducted. ## Butterfly : Before interest is health. ## Bank Manager: There is life insurance, both of you? ## Butterfly : h u m k o n a h i karani j i . Get the AP bus cash soon. ,",No interest of butterfly will be deducted
1,ROHAN : Tumhaare liye ... ## ROHAN : Ye bhi ... agar padhne ka mann kare to ... ## ARJUN : Hum sab teen teen baar padh liye hain ... ## ROHAN : Apni poems bhi leke aaye hain . Aur kahaniyan . Ye tum kabhi nahin padhe ho ... ## ROHAN : Tumko chahiye to tumhaare school ke doston ko bula laayen ? ## ROHAN : Vah ladki jisko tum kiss kiye the ? ## ARJUN : Vah humse baat nahin karti . ## ROHAN : Koi baat hai Arjun jo tum kahna chahte ho ? ## NURSE : Hello Arjun ... ## NURSE : Aap iska kapda badal lenge ? ## ROHAN : Kya hua ? ## , '',entailment,"Rohan: For you... ## Rohan: This too... If you feel like reading it... ## Arjun: We have read all three thrice... ## Rohan: Have brought your poems too . More stories. You've never read this... ## Rohan: If you want, you can call your school friends? ## Rohan: Wow girl whom did you kiss? ## Arjun: Wow doesn't talk to us. ## Rohan: Is there anything you want to say, Arjun? ## Nurse : Hello Arjun... ## Nurse : Will you change its clothes? ## Rohan: What happened? ,",","
2,BHAIRAV : Paanch minute late ... ## ROHAN : Baal bana raha tha . ## BHAIRAV : T-shirt pe kya hai ? ## ROHAN : Who gives a hash at the rate of dollar per se ... ## BHAIRAV : Factory mein yah sab leechad kapda pahan kar nahin jaa sakte ... ## ROHAN : Mere paas sab yahi hai . ## BHAIRAV : Jaake meri almaari mein se kameez le lo . ## BHAIRAV : Aur baal banaane mat lag jaana nahin to ghar ke saare sheeshe tod doonga tumhaare sarr pe ... now run ! ## ,BHAIRAV ne ROHAN ke dress ko leechad kapda kaha. ,entailment,"Bhairav: Five minutes late... ## Rohan: Was making hair. ## Bhairav: What's on the T-shirt? ## Rohan : Who gives hash according to dollar per sec... ## Bhairav ​​: Can't go to the factory wearing all this dirty clothes... ## Rohan : That's all I have. ## Bhairav: Go and take the shirt from my wardrobe. ## Bhairav ​​: And don't start making hair or else I will break all the glass of the house on your head... Now run! ,",Bhairav ​​called the jonkad cloth in Rohan's dress.
3,ASLAM : Paanch minute ... ## ASLAM : Pack ... Main zara halka hokey aata hoon ... ## ASLAM : Ghanta ... Chota Aslam kaagzi ghulab nahi soonghta ... Usko live ki aadat hai ... ## ASLAM : Parcel aa raha hai ... ## ,ASLAM wanted to go to toilet. ,entailment,Aslam : Five Minutes... ## Aslam : Pack... I come a little lighter... ## Aslam : Hour... Chhota Aslam Kagzi Ghulam Not soon... He has a habit of live... # # Aslam : Parcel is coming... ##,Aslam wanted to go to the toilet.
4,APU : Kaun se school mein tha ? ## ROHAN : Bishop Cotton . ## APU : Kahan hai ? ## ROHAN : Shimla . ## APU : Tabhi tu pahadi jaisa dikhta hai ... ## AMBER : Rahne vaala to Jamshedpur ka hai na be ... ## APU : Thanda bahut lagta hogi tumko ? ## ROHAN : Yahaan ? ## APU : Hahn ... ## ROHAN : Kyon ? ## APU : Kyonki tu Shimla se hai ... ## AMBER : Ye Jamshedpur ka hai na be ... ## APU : Pata hai ... mazaak karrra Motu ... joke ... situp ... ## SHIV : Bolo motu ko joke nahin samjha ki ... ## ,ROHAN  Shimla se hai. ,contradictory,"APU: In which school was it? ## Rohan : Bishop Cotton. ## APU : Where is it? ## Rohan : Shimla. ## APU: Tabi you look like a hill... ## Amber: You are from Jamshedpur, are you not... ## APU: Do you feel cold? ## Rohan: Here? ## Apu : No... ## Rohan : Why? ## APU : Why are you from Shimla... ## Amber : This is from Jamshedpur na ho... ## APU : Know... Joke Karra Motu... Joke... Sit... ## Shiv: Tell Motu not to be a joke... ##",Rohan is from Shimla.
5,"DEBDAS : Tum vivaah kar rahe ho , Pakhi se ... ## VARUN : Sagaai . ## DEBDAS : Kya baat hai Varun ? Kya chhupa rahe ho ? ## VARUN : Kuch nahin ... ## DEBDAS : Kuch to hai jo tum nahin kah rahe ho ... ## DEBDAS : Bajpai ji ko kya bataaoge ? ## VARUN : Pata nahin . ## DEBDAS : To phir sagaai kyon kar rahe ho ? Usse poora hi khatam karke jaane ka iraada hai ? ## DEBDAS : Sagaai kahaan hai ? ## VARUN : Mandir mein . ## DEBDAS : Kab ? ## VARUN : Kal ... ## ",Sagaai Kal hai. ,entailment,"Debdas: You are getting married, with Pakhi... ## Varun: Engaged. ## Debdas: What's the matter Varun? What do you have under the hat? ## Varun: Nothing... ## Debdas: There is something you are not saying... ## Debdas: What will you tell Bajpayee ji? ## Varun : Don't know. ## Debdas: Then why are you getting engaged? Do you intend to finish it completely? ## Debdas: Where is the engagement? ## Varun : In the temple. ## Debdas: When? ## Varun : Tomorrow... ##",The engagement is tomorrow.
6,"I.G. : Like father like daughter .. Chhee chhee chhee !! ## I.G. : Sir ... we're from the anti corruption bureau ..! ## JK : Arre ... Guru .. ## I.G. : JK . Tu kya kar raha hai yahan ? ## JK : Arre yaar saala deputation aa raha hai na next year .. ## I.G. : Kahan ja rahe ho ? ## JK : Kya pata yaar .. May be CDI .. Tu kaise yahan ? ## I.G. : The Noida double murder case .. you know , the young girl and the servant .. (gestures towards CM's cabin) Reporting to 'high-command' ! ## JK : Any leads ? ## I.G. : Working on it .. ## I.G. : Bahut achhi Malt bacha rakkhi hai tere liye .. Kab aa raha hai ? ## JK : Jab bhi yaar .. it takes just an hour from Gurgaon to Noida .. ## I.G. : Theek hai next week . ## ",I.G. is from anti corruption bureau,entailment,"IG : Like a daughter like a father.. Chee chi chi !! ## IG : Sir... we are from Anti Corruption Bureau..! ## JK : Hey… Guru.. ## I.G. : JK. what are you doing here? ## JK : Hey yaar sala deputation is coming next year.. ## IG. : Where are you going ? ## JK: Kya know man.. CDI may be there.. how are you here? ## IG : Noida double murder case.. you know, the girl and the servant.. (pointing to the CM's cabin) report to the 'high command'! ## JK: Any lead? ## IG : Working on it.. ## I.G. : Very good malt left Rakhi for you.. when is it coming? ## JK : Whenever dude.. it takes just one hour to go from Gurgaon to Noida.. ## IG. OK next week. ,",IG Anti corruption bureau
7,KASTURI : Na h i s a m a j h m e in a a r a h a h a i puttar . ## SANJEEV : Kya baat hai Andrea ? ## ANDREA : Nothing Sir voh ... ## SANJEEV : Arrey ... have ... chill yaar .. kaam kiya hai itna ... le na abhi ! ## SANJEEV : Kya hai ... hua kya hai ... life mein sab hota hai yaar ... chal na beer pi ! ## SANJEEV : Arrey your beer ... leke ja naa tu ! ## ,KASTURI ko samajh mein nahi aa raha,entailment,"Kasturi : NO ISA M A J H M E IN A A R A H A H A I Puttar. ## Sanjeev: What's the matter Andrea? ## Andrea: Nothing sir he... ## Sanjeev: Hey... hai... chill yaar.. worked so much... take it now! ## Sanjeev: What is it… what has happened… everything happens in life, man… let’s drink beer! ## Sanjeev : Hey your beer... take it na tu! ,",Musk does not understand:
8,NUTAN : Haan .. ## DR. SWAMY : Aap peshe se Doctor hain ? ## NUTAN : Haan .. ## DR. SWAMY : Aapko yaqeen hai ki aapke pati ne Shruti ka qatl nahin kiya hai ? ## NUTAN : Haan . ## ,NUTAN ek doctor hai,entailment,"Nutan: Yes.. ## Dr. Swami: Are you a doctor by profession? ## Nutan : Yes.. ## Dr. Swami : Do you believe that your husband has not killed Shruti? ## Nutan : Yes. ,",Nutan is a doctor
9,"ARJUN : Kyun , kya hua ? ## RAHUL : Papa called , Dadu got a heart attack . ## ARJUN : Shit ! Is he okay ? ## RAHUL : Ab stable hain , magar ICU main hain .. ## ARJUN : Unhone mujhe phone kyun nahi kiya ? ## RAHUL : Arjun , in baaton ke liye time nahin hai ... Maine saare flights check kiye hain , sirf Air India ki direct flight hai . Waheen lekar parsoe chaar baje pahunch raha hoon . Tum agar kal New Jersey se 7 : 40 ki flight lelo , toh hum dono airport se saath nikal sakte hain . ## ARJUN : Gimme a sec . ## RAHUL : Tumhare liye ticket khareed loon ? ## ARJUN : Koi zarurat nahin . Main manage kar lunga . ## ",Dabu is okay. ,contradictory,"Arjun: Why, what happened? ## Rahul : Papa called, Dadu had a heart attack. ## Arjun: Hey! Is he all right ? ## Rahul: Stable now, but in ICU.. ## Arjun: Why didn't you call me? ## Rahul: Arjun, there is no time for these things… I have checked all the flights, only Air India has a direct flight. With that, I am five o'clock the day after tomorrow. If you take the 7:40 flight from New Jersey tomorrow, we can both leave the airport together. ## Arjun: Give me a second. ## Rahul: Should I buy a ticket for you? ## Arjun : Not necessary. I will manage the main. ,",Dubbo is fine.
